id,title,url,published_datetime,status,tweet,llm_provider,discovered_datetime,tweet_generated_datetime,tweet_posted_datetime
https://barcauniversal.com/?p=211837,Ten Hag closes the door on Barcelona move for Ruud Nijstad: ‘He wants to stay here’,https://barcauniversal.com/ten-hag-closes-the-door-on-barcelona-move-for-ruud-nijstad-he-wants-to-stay-here/,2026-09-05T23:43:12+05:30,READY,Twente rejecting an €8m bid for,gemini,2026-09-06T00:54:30+05:30,2026-09-06T00:54:55+05:30,
https://barcauniversal.com/?p=211840,Report: The inside story of how Barcelona pulled off Anthony Gordon’s signing,https://barcauniversal.com/report-the-inside-story-of-how-barcelona-pulled-off-anthony-gordons-signing/,2026-09-06T00:10:00+05:30,READY,Deco's handling of the Anthony Gordon,gemini,2026-09-06T00:54:30+05:30,2026-09-06T00:54:58+05:30,
https://barcauniversal.com/?p=211827,Three talking points ahead of Valencia vs Barcelona | La Liga MD 4,https://barcauniversal.com/three-talking-points-ahead-of-valencia-vs-barcelona-la-liga-md-4/,2026-09-06T00:30:00+05:30,READY,"1/ With Madrid and Atleti both dropping points, Mest",gemini,2026-09-06T00:54:30+05:30,2026-09-06T00:55:01+05:30,
https://barcauniversal.com/?p=211850,Barcelona superstar is a major doubt vs Valencia after missing training,https://barcauniversal.com/barcelona-superstar-is-a-major-doubt-vs-valencia-after-missing-training/,2026-09-06T11:30:00+05:30,DISCOVERED,,,2026-09-06T18:19:57+05:30,,
https://barcauniversal.com/?p=211845,Feyenoord face a major problem ahead of Barcelona clash as star player revolts,https://barcauniversal.com/feyenoord-face-a-major-problem-ahead-of-barcelona-clash-as-star-player-revolts/,2026-09-06T11:50:00+05:30,READY,Feyenoord's preparation for Wednesday',gemini,2026-09-06T18:19:57+05:30,2026-09-06T21:40:35+05:30,
https://barcauniversal.com/?p=211843,Barcelona face a €60m economic dilemma heading into January transfer window – report,https://barcauniversal.com/barcelona-face-a-e60m-economic-dilemma-heading-into-january-transfer-window-report/,2026-09-06T12:10:00+05:30,READY,Barça's winter window choice isn't just about,gemini,2026-09-06T18:19:57+05:30,2026-09-06T18:21:47+05:30,
https://barcauniversal.com/?p=211852,Barcelona captain expected to return from his injury after the September international break,https://barcauniversal.com/barcelona-captain-expected-to-return-from-his-injury-after-the-september-international-break/,2026-09-06T12:44:20+05:30,READY,Frenkie de Jong looks increasingly unlikely,gemini,2026-09-06T18:19:57+05:30,2026-09-06T21:40:38+05:30,
https://barcauniversal.com/?p=211855,Rodri and Cancelo in a 4-2-3-1: How Barcelona can line up against Valencia,https://barcauniversal.com/rodri-and-cancelo-in-a-4-2-3-1-how-barcelona-can-line-up-against-valencia/,2026-09-06T13:10:00+05:30,READY,Flick looks increasingly likely to rotate against Valencia with Feyeno,gemini,2026-09-06T18:19:57+05:30,2026-09-06T21:40:45+05:30,
https://barcauniversal.com/?p=211857,Barcelona coach sees new signing as a boon to the team; will not rush his integration,https://barcauniversal.com/barcelona-coach-sees-new-signing-as-a-boon-to-the-team-will-not-rush-his-integration/,2026-09-06T14:18:36+05:30,READY,Rodri starting on the bench isn't,gemini,2026-09-06T18:19:57+05:30,2026-09-06T21:40:49+05:30,
https://barcauniversal.com/?p=211859,Bayern Munich superstar congratulates 16-year-old relative after joining Barcelona: ‘Proud of you’,https://barcauniversal.com/bayern-munich-superstar-congratulates-16-year-old-relative-after-joining-barcelona-proud-of-you/,2026-09-06T16:09:23+05:30,READY,Barça signing 16-year,gemini,2026-09-06T18:19:57+05:30,2026-09-06T21:40:52+05:30,
https://barcauniversal.com/?p=211862,On-loan Barcelona star makes promising debut for new club in La Liga – report,https://barcauniversal.com/on-loan-barcelona-star-makes-promising-debut-for-new-club-in-la-liga-report/,2026-09-06T16:30:00+05:30,READY,Marc Casadó's brief debut off the bench for Dep,gemini,2026-09-06T18:19:57+05:30,2026-09-06T21:41:18+05:30,
https://barcauniversal.com/?p=211867,Tensions flare outside Mestalla ahead of Valencia vs Barcelona match,https://barcauniversal.com/tensions-flare-outside-mestalla-ahead-of-valencia-vs-barcelona-match/,2026-09-06T16:54:29+05:30,READY,The atmosphere at Mestalla looks primed to be as hostile,gemini,2026-09-06T18:19:57+05:30,2026-09-06T18:24:36+05:30,
https://barcauniversal.com/?p=211872,Barcelona superstar’s childhood friend backs him to become the best in the world: ‘Since he was six’,https://barcauniversal.com/barcelona-superstars-childhood-friend-backs-him-to-become-the-best-in-the-world-since-he-was-six/,2026-09-06T18:04:02+05:30,READY,"sourcing, calm, clear interpretation",gemini,2026-09-06T18:19:57+05:30,2026-09-06T18:24:39+05:30,
