id,title,url,published_datetime,status,tweet,llm_provider,discovered_datetime,tweet_generated_datetime,tweet_posted_datetime
https://barcauniversal.com/?p=213627,Barcelona defender to have an official renewal ceremony after signing contract in summer,https://barcauniversal.com/barcelona-defender-to-have-an-official-renewal-ceremony-after-signing-contract-in-summer/,2026-09-23T23:40:00+05:30,READY,"Christensen signed a two‑year extension on 1 July, keeping him at Barça until 2028. Despite a new quadriceps setback that will sideline him for about two months, the club plans an official renewal ceremony before the sessions for Bernal and Espart. As things stand, the date is still pending.",groq,2026-09-24T02:56:11+05:30,2026-09-24T02:56:59+05:30,
https://barcauniversal.com/?p=213637,Barcelona face a fresh challenge with their increasing wage bill,https://barcauniversal.com/barcelona-face-a-fresh-challenge-with-their-increasing-wage-bill/,2026-09-24T00:00:00+05:30,READY,"Barcelona’s wage bill is rising again, projected to hit €636 m this season, the same figure as 2019‑20. As things stand, the 53% share of revenue is lower than the 74% of that year, but the upward trend still demands attention as match‑day income may dip next season.",groq,2026-09-24T02:56:11+05:30,2026-09-24T02:57:31+05:30,
https://barcauniversal.com/?p=213591,From Messi to Raphinha: Barcelona’s remarkable history of reinventing their best attackers,https://barcauniversal.com/from-messi-to-raphinha-barcelonas-remarkable-history-of-reinventing-their-best-attackers/,2026-09-24T00:30:00+05:30,READY,"Raphinha's shift from wide to No. 9 echoes Barcelona's long history of positional reinvention. Samitier, Laudrup, Messi and Ferran all followed the same pattern, and Flick's move keeps their tactical DNA intact. As things stand, the move is less an emergency than a natural evolution of an already versatile attacker.",groq,2026-09-24T02:56:11+05:30,2026-09-24T02:58:17+05:30,
https://barcauniversal.com/?p=213647,"Rodri talks Lamine, Raphinha, Pedri, Flick, Real Madrid, Florentino Perez, Ballon d’Or",https://barcauniversal.com/rodri-talks-lamine-raphinha-pedri-flick-real-madrid-florentino-perez-ballon-dor/,2026-09-24T11:30:00+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213649,"Real Madrid defender Marc Cucurella reveals truth about Barcelona’s interest: ‘My agent received a few calls, but…’",https://barcauniversal.com/real-madrid-defender-marc-cucurella-reveals-truth-about-barcelonas-interest-my-agent-received-a-few-calls-but/,2026-09-24T11:50:00+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213654,Joao Felix picks Barcelona superstar over Mbappe for Ballon d’Or: ‘He has you glued to the screen’,https://barcauniversal.com/joao-felix-picks-barcelona-superstar-over-mbappe-for-ballon-dor-he-has-you-glued-to-the-screen/,2026-09-24T12:10:00+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213658,Xavi praises Hansi Flick’s Barcelona and picks his Ballon d’Or favourite: ‘We also did our bit to help this generation’,https://barcauniversal.com/xavi-praises-hansi-flicks-barcelona-and-picks-his-ballon-dor-favourite-we-also-did-our-bit-to-help-this-generation/,2026-09-24T12:30:00+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213660,Barcelona loanee making strong impression after stunning start to new season,https://barcauniversal.com/barcelona-loanee-making-strong-impression-after-stunning-start-to-new-season/,2026-09-24T12:58:47+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213662,Zlatan Ibrahimovic openly endorses Lamine Yamal as Ballon d’Or discussion heats up – “He is my guy”,https://barcauniversal.com/zlatan-ibrahimovic-openly-endorses-lamine-yamal-as-ballon-dor-discussion-heats-up-he-is-my-guy/,2026-09-24T13:20:00+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213663,"Former Barcelona star Cristian Tello opens up on Guardiola’s message, Messi and Barcelona’s golden era",https://barcauniversal.com/former-barcelona-star-cristian-tello-opens-up-on-guardiolas-message-messi-and-barcelonas-golden-era/,2026-09-24T13:40:00+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213671,Stat attack: Barcelona midfielder leads La Liga in this key metric,https://barcauniversal.com/stat-attack-barcelona-midfielder-leads-la-liga-in-this-key-metric/,2026-09-24T14:00:00+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
https://barcauniversal.com/?p=213674,Spain forward heaps praise on Lamine Yamal – “He is a game-changer”,https://barcauniversal.com/spain-forward-heaps-praise-on-lamine-yamal-he-is-a-game-changer/,2026-09-24T14:25:30+05:30,DISCOVERED,,,2026-09-24T14:59:36+05:30,,
